year,prefecture,sales_quantity_kl,sales_source,production_quantity_kl,production_source,region
1968,熊本,18443.0,jikeiretsu_13,,,九州・沖縄
1968,大分,16368.0,jikeiretsu_13,,,九州・沖縄
1968,宮崎,2982.0,jikeiretsu_13,,,九州・沖縄
1968,鹿児島,1746.0,jikeiretsu_13,,,九州・沖縄
1968,沖縄,,jikeiretsu_13,,,九州・沖縄
1969,北海道,78376.0,jikeiretsu_13,,,北海道
1969,青森,26577.0,jikeiretsu_13,,,東北
1969,岩手,25851.0,jikeiretsu_13,,,東北
1969,宮城,32910.0,jikeiretsu_13,,,東北
1969,秋田,31029.0,jikeiretsu_13,,,東北
1969,山形,25564.0,jikeiretsu_13,,,東北
1969,福島,40448.0,jikeiretsu_13,,,東北
1969,茨城,34867.0,jikeiretsu_13,,,関東
1969,栃木,27196.0,jikeiretsu_13,,,関東
1969,群馬,25855.0,jikeiretsu_13,,,関東
1969,埼玉,46772.0,jikeiretsu_13,,,関東
1969,千葉,43559.0,jikeiretsu_13,,,関東
1969,東京,151324.0,jikeiretsu_13,,,関東
1969,神奈川,65952.0,jikeiretsu_13,,,関東
1969,新潟,46937.0,jikeiretsu_13,,,中部
1969,富山,17544.0,jikeiretsu_13,,,中部
1969,石川,15398.0,jikeiretsu_13,,,中部
1969,福井,11179.0,jikeiretsu_13,,,中部
1969,山梨,13210.0,jikeiretsu_13,,,中部
1969,長野,35748.0,jikeiretsu_13,,,中部
1969,岐阜,21470.0,jikeiretsu_13,,,中部
1969,静岡,47483.0,jikeiretsu_13,,,中部
1969,愛知,56674.0,jikeiretsu_13,,,中部
1969,三重,18371.0,jikeiretsu_13,,,中部
1969,滋賀,13052.0,jikeiretsu_13,,,近畿
1969,京都,27524.0,jikeiretsu_13,,,近畿
1969,大阪,101987.0,jikeiretsu_13,,,近畿
1969,兵庫,58847.0,jikeiretsu_13,,,近畿
1969,奈良,11247.0,jikeiretsu_13,,,近畿
1969,和歌山,15637.0,jikeiretsu_13,,,近畿
1969,鳥取,11490.0,jikeiretsu_13,,,中国
1969,島根,16385.0,jikeiretsu_13,,,中国
1969,岡山,25815.0,jikeiretsu_13,,,中国
1969,広島,39342.0,jikeiretsu_13,,,中国
1969,山口,26712.0,jikeiretsu_13,,,中国
1969,徳島,10882.0,jikeiretsu_13,,,四国
1969,香川,11784.0,jikeiretsu_13,,,四国
1969,愛媛,21307.0,jikeiretsu_13,,,四国
1969,高知,15085.0,jikeiretsu_13,,,四国
1969,福岡,66159.0,jikeiretsu_13,,,九州・沖縄
1969,佐賀,16707.0,jikeiretsu_13,,,九州・沖縄
1969,長崎,24041.0,jikeiretsu_13,,,九州・沖縄
1969,熊本,18434.0,jikeiretsu_13,,,九州・沖縄
1969,大分,16393.0,jikeiretsu_13,,,九州・沖縄
1969,宮崎,2873.0,jikeiretsu_13,,,九州・沖縄
1969,鹿児島,1694.0,jikeiretsu_13,,,九州・沖縄
1969,沖縄,,jikeiretsu_13,,,九州・沖縄
1970,北海道,76590.0,jikeiretsu_13,,,北海道
1970,青森,26519.0,jikeiretsu_13,,,東北
1970,岩手,26466.0,jikeiretsu_13,,,東北
1970,宮城,33636.0,jikeiretsu_13,,,東北
1970,秋田,30677.0,jikeiretsu_13,,,東北
1970,山形,26414.0,jikeiretsu_13,,,東北
1970,福島,39293.0,jikeiretsu_13,,,東北
1970,茨城,37046.0,jikeiretsu_13,,,関東
1970,栃木,27785.0,jikeiretsu_13,,,関東
1970,群馬,26848.0,jikeiretsu_13,,,関東
1970,埼玉,50799.0,jikeiretsu_13,,,関東
1970,千葉,45223.0,jikeiretsu_13,,,関東
1970,東京,153627.0,jikeiretsu_13,,,関東
1970,神奈川,68684.0,jikeiretsu_13,,,関東
1970,新潟,49145.0,jikeiretsu_13,,,中部
1970,富山,18635.0,jikeiretsu_13,,,中部
1970,石川,16114.0,jikeiretsu_13,,,中部
1970,福井,11595.0,jikeiretsu_13,,,中部
1970,山梨,13781.0,jikeiretsu_13,,,中部
1970,長野,36713.0,jikeiretsu_13,,,中部
1970,岐阜,22221.0,jikeiretsu_13,,,中部
1970,静岡,47983.0,jikeiretsu_13,,,中部
1970,愛知,60618.0,jikeiretsu_13,,,中部
1970,三重,19469.0,jikeiretsu_13,,,中部
1970,滋賀,13490.0,jikeiretsu_13,,,近畿
1970,京都,29111.0,jikeiretsu_13,,,近畿
1970,大阪,104290.0,jikeiretsu_13,,,近畿
1970,兵庫,60376.0,jikeiretsu_13,,,近畿
1970,奈良,11683.0,jikeiretsu_13,,,近畿
1970,和歌山,15878.0,jikeiretsu_13,,,近畿
1970,鳥取,11691.0,jikeiretsu_13,,,中国
1970,島根,16576.0,jikeiretsu_13,,,中国
1970,岡山,26728.0,jikeiretsu_13,,,中国
1970,広島,41062.0,jikeiretsu_13,,,中国
1970,山口,27274.0,jikeiretsu_13,,,中国
1970,徳島,11781.0,jikeiretsu_13,,,四国
1970,香川,12059.0,jikeiretsu_13,,,四国
1970,愛媛,21639.0,jikeiretsu_13,,,四国
1970,高知,16158.0,jikeiretsu_13,,,四国
