year,prefecture,business_count,domestic_volume_kl,domestic_amount_mil,export_volume_kl,export_amount_mil,export_ratio_volume_pct,export_ratio_amount_pct,source
2021,長崎,14.0,10.0,760.0,779.0,16.0,21.0,2.1,新概況 r04
2021,熊本,11.0,9.0,669.0,647.0,1.0,1.0,0.1,新概況 r04
2021,大分,32.0,27.0,1826.0,1477.0,22.0,14.0,1.2,新概況 r04
2021,宮崎,2.0,2.0,85.0,92.0,,,0.0,新概況 r04
2021,鹿児島,2.0,2.0,82.0,128.0,,,0.0,新概況 r04
2021,沖縄,,,,,,,,新概況 r04
2022,北海道,14.0,13.0,3460.0,3661.0,52.0,225.0,1.5,新概況 r05
2022,青森,19.0,14.0,2354.0,3303.0,40.0,71.0,1.7,新概況 r05
2022,岩手,22.0,18.0,3126.0,3118.0,340.0,612.0,9.8,新概況 r05
2022,宮城,29.0,25.0,6930.0,6967.0,190.0,431.0,2.7,新概況 r05
2022,秋田,35.0,28.0,16363.0,12596.0,365.0,452.0,2.2,新概況 r05
2022,山形,53.0,44.0,7526.0,9359.0,473.0,631.0,5.9,新概況 r05
2022,福島,66.0,58.0,10187.0,9369.0,183.0,253.0,1.8,新概況 r05
2022,茨城,41.0,24.0,1210.0,1475.0,46.0,72.0,3.6,新概況 r05
2022,栃木,34.0,16.0,5830.0,3318.0,286.0,126.0,4.7,新概況 r05
2022,群馬,26.0,14.0,1722.0,1413.0,61.0,81.0,3.4,新概況 r05
2022,埼玉,35.0,24.0,19644.0,12222.0,252.0,138.0,1.3,新概況 r05
2022,新潟,91.0,78.0,32851.0,32582.0,996.0,1344.0,2.9,新概況 r05
2022,長野,80.0,68.0,8087.0,8079.0,239.0,348.0,2.9,新概況 r05
2022,千葉,37.0,24.0,12247.0,5091.0,178.0,147.0,1.4,新概況 r05
2022,東京,17.0,11.0,2096.0,1827.0,17.0,21.0,0.8,新概況 r05
2022,神奈川,13.0,8.0,564.0,785.0,13.0,27.0,2.2,新概況 r05
2022,山梨,14.0,7.0,1052.0,1241.0,57.0,89.0,5.2,新概況 r05
2022,富山,21.0,10.0,3157.0,3133.0,288.0,364.0,8.4,新概況 r05
2022,石川,38.0,21.0,4172.0,4635.0,156.0,291.0,3.6,新概況 r05
2022,福井,36.0,12.0,2206.0,3205.0,368.0,787.0,14.3,新概況 r05
2022,岐阜,48.0,38.0,2813.0,3055.0,383.0,213.0,12.0,新概況 r05
2022,静岡,28.0,21.0,3246.0,3640.0,423.0,379.0,11.5,新概況 r05
2022,愛知,46.0,30.0,12053.0,6525.0,137.0,124.0,1.1,新概況 r05
2022,三重,35.0,17.0,1500.0,2166.0,32.0,58.0,2.1,新概況 r05
2022,滋賀,48.0,21.0,1153.0,1536.0,60.0,99.0,4.9,新概況 r05
2022,京都,42.0,26.0,100741.0,47503.0,3657.0,2195.0,3.5,新概況 r05
2022,大阪,19.0,10.0,602.0,786.0,27.0,98.0,4.3,新概況 r05
2022,兵庫,74.0,52.0,82378.0,42182.0,8091.0,4169.0,8.9,新概況 r05
2022,奈良,33.0,23.0,2947.0,2871.0,757.0,319.0,20.4,新概況 r05
2022,和歌山,17.0,14.0,3469.0,1786.0,140.0,136.0,3.9,新概況 r05
2022,鳥取,20.0,13.0,553.0,681.0,68.0,103.0,10.9,新概況 r05
2022,島根,34.0,21.0,1575.0,1919.0,206.0,243.0,11.6,新概況 r05
