year,prefecture,production_quantity_kl
2008,島根,1685.0
2008,広島,11428.0
2008,徳島,501.0
2008,愛媛,2079.0
2008,愛知,18018.0
2008,新潟,38861.0
2008,東京,13254.0
2008,栃木,6441.0
2008,滋賀,3679.0
2008,熊本,2120.0
2008,石川,5515.0
2008,神奈川,662.0
2008,福井,2314.0
2008,福岡,3407.0
2008,福島,13498.0
2008,秋田,15329.0
2008,群馬,2850.0
2008,茨城,4135.0
2008,長崎,607.0
2008,長野,8271.0
2008,青森,3747.0
2008,静岡,3655.0
2008,香川,1201.0
2008,高知,5171.0
2008,鳥取,889.0
2009,三重,2428.0
2009,京都,92032.0
2009,佐賀,2824.0
2009,兵庫,134628.0
2009,北海道,4516.0
2009,千葉,2435.0
2009,和歌山,3306.0
2009,埼玉,20743.0
2009,大分,3751.0
2009,大阪,871.0
2009,奈良,4269.0
2009,宮城,6065.0
2009,富山,6184.0
2009,山口,1847.0
2009,山形,7501.0
2009,山梨,966.0
2009,岐阜,3293.0
2009,岡山,3899.0
2009,岩手,3857.0
2009,島根,1812.0
2009,広島,9994.0
2009,徳島,554.0
2009,愛媛,1752.0
2009,愛知,18334.0
2009,新潟,34741.0
2009,東京,12222.0
2009,栃木,6253.0
2009,滋賀,3580.0
2009,熊本,1410.0
2009,石川,5124.0
2009,神奈川,549.0
2009,福井,2258.0
2009,福岡,3921.0
2009,福島,12873.0
2009,秋田,15512.0
2009,群馬,2628.0
2009,茨城,3564.0
2009,長崎,467.0
2009,長野,8062.0
2009,青森,3688.0
2009,静岡,3559.0
2009,香川,1242.0
2009,高知,4889.0
2009,鳥取,896.0
2010,三重,2061.0
2010,京都,87185.0
2010,佐賀,3041.0
2010,兵庫,131004.0
2010,北海道,3272.0
2010,千葉,2361.0
2010,和歌山,2110.0
2010,埼玉,19386.0
2010,大分,3389.0
2010,大阪,907.0
2010,奈良,4152.0
2010,宮城,5563.0
2010,富山,5679.0
2010,山口,1953.0
2010,山形,7597.0
2010,山梨,839.0
2010,岐阜,2920.0
2010,岡山,3188.0
2010,岩手,2822.0
2010,島根,1678.0
2010,広島,9842.0
2010,徳島,424.0
2010,愛媛,1720.0
2010,愛知,16249.0
2010,新潟,34732.0
2010,東京,12827.0
2010,栃木,6231.0
2010,滋賀,3147.0
2010,熊本,1124.0
2010,石川,5215.0
2010,神奈川,605.0
2010,福井,2257.0
2010,福岡,3305.0
2010,福島,11454.0
2010,秋田,14882.0
