prefecture,sake_type,production_20deg_kl,brewery_count,year
島根,一般酒全体,159.0,9.0,2021
岡山,一般酒全体,277.0,14.0,2021
広島,一般酒全体,2640.0,24.0,2021
山口,一般酒全体,338.0,13.0,2021
徳島,一般酒全体,21.0,5.0,2021
香川,一般酒全体,78.0,3.0,2021
愛媛,一般酒全体,331.0,8.0,2021
高知,一般酒全体,730.0,11.0,2021
福岡,一般酒全体,520.0,27.0,2021
佐賀,一般酒全体,266.0,15.0,2021
長崎,一般酒全体,151.0,6.0,2021
熊本,一般酒全体,,8.0,2021
大分,一般酒全体,621.0,14.0,2021
北海道,清酒全体,2738.0,16.0,2022
青森,清酒全体,2549.0,16.0,2022
岩手,清酒全体,2336.0,22.0,2022
宮城,清酒全体,5515.0,29.0,2022
秋田,清酒全体,11981.0,33.0,2022
山形,清酒全体,6171.0,43.0,2022
福島,清酒全体,6874.0,56.0,2022
茨城,清酒全体,2064.0,25.0,2022
栃木,清酒全体,6588.0,26.0,2022
群馬,清酒全体,1810.0,17.0,2022
埼玉,清酒全体,19391.0,24.0,2022
新潟,清酒全体,28727.0,84.0,2022
長野,清酒全体,5721.0,67.0,2022
千葉,清酒全体,5381.0,25.0,2022
東京,清酒全体,1020.0,7.0,2022
神奈川,清酒全体,766.0,14.0,2022
山梨,清酒全体,7547.0,10.0,2022
富山,清酒全体,2464.0,16.0,2022
石川,清酒全体,3117.0,24.0,2022
福井,清酒全体,2401.0,23.0,2022
岐阜,清酒全体,2855.0,38.0,2022
静岡,清酒全体,3093.0,23.0,2022
愛知,清酒全体,8693.0,32.0,2022
三重,清酒全体,1808.0,26.0,2022
滋賀,清酒全体,2250.0,29.0,2022
京都,清酒全体,50866.0,38.0,2022
大阪,清酒全体,522.0,11.0,2022
兵庫,清酒全体,90276.0,57.0,2022
奈良,清酒全体,2192.0,28.0,2022
和歌山,清酒全体,1850.0,9.0,2022
鳥取,清酒全体,477.0,12.0,2022
島根,清酒全体,1313.0,27.0,2022
岡山,清酒全体,1303.0,22.0,2022
広島,清酒全体,6055.0,38.0,2022
山口,清酒全体,7105.0,21.0,2022
徳島,清酒全体,246.0,9.0,2022
香川,清酒全体,629.0,7.0,2022
愛媛,清酒全体,900.0,21.0,2022
高知,清酒全体,3786.0,19.0,2022
福岡,清酒全体,2261.0,34.0,2022
佐賀,清酒全体,2036.0,20.0,2022
長崎,清酒全体,666.0,11.0,2022
熊本,清酒全体,691.0,9.0,2022
大分,清酒全体,1032.0,18.0,2022
北海道,純米酒,1030.0,16.0,2022
青森,純米酒,1189.0,14.0,2022
岩手,純米酒,498.0,18.0,2022
宮城,純米酒,2302.0,25.0,2022
秋田,純米酒,2354.0,33.0,2022
山形,純米酒,1482.0,38.0,2022
福島,純米酒,1907.0,48.0,2022
茨城,純米酒,629.0,21.0,2022
栃木,純米酒,898.0,19.0,2022
群馬,純米酒,264.0,16.0,2022
埼玉,純米酒,1275.0,21.0,2022
新潟,純米酒,2829.0,68.0,2022
長野,純米酒,1291.0,57.0,2022
千葉,純米酒,398.0,17.0,2022
東京,純米酒,269.0,6.0,2022
神奈川,純米酒,221.0,10.0,2022
山梨,純米酒,1811.0,10.0,2022
富山,純米酒,220.0,11.0,2022
石川,純米酒,1685.0,23.0,2022
福井,純米酒,398.0,21.0,2022
岐阜,純米酒,495.0,31.0,2022
静岡,純米酒,897.0,22.0,2022
愛知,純米酒,440.0,26.0,2022
三重,純米酒,396.0,23.0,2022
滋賀,純米酒,421.0,27.0,2022
京都,純米酒,5268.0,31.0,2022
大阪,純米酒,155.0,9.0,2022
兵庫,純米酒,10255.0,54.0,2022
奈良,純米酒,788.0,25.0,2022
和歌山,純米酒,506.0,9.0,2022
鳥取,純米酒,99.0,8.0,2022
島根,純米酒,571.0,25.0,2022
岡山,純米酒,240.0,20.0,2022
広島,純米酒,1199.0,35.0,2022
山口,純米酒,448.0,14.0,2022
徳島,純米酒,59.0,9.0,2022
香川,純米酒,162.0,6.0,2022
愛媛,純米酒,68.0,13.0,2022
高知,純米酒,1294.0,16.0,2022
福岡,純米酒,658.0,27.0,2022
佐賀,純米酒,760.0,20.0,2022
長崎,純米酒,122.0,8.0,2022
熊本,純米酒,204.0,9.0,2022
大分,純米酒,296.0,16.0,2022
北海道,純米吟醸酒,580.0,15.0,2022
青森,純米吟醸酒,826.0,14.0,2022
岩手,純米吟醸酒,931.0,18.0,2022
宮城,純米吟醸酒,1427.0,26.0,2022
秋田,純米吟醸酒,2265.0,31.0,2022
山形,純米吟醸酒,2651.0,42.0,2022
福島,純米吟醸酒,2253.0,54.0,2022
茨城,純米吟醸酒,453.0,23.0,2022
栃木,純米吟醸酒,1323.0,24.0,2022
群馬,純米吟醸酒,494.0,17.0,2022
埼玉,純米吟醸酒,347.0,24.0,2022
新潟,純米吟醸酒,8234.0,80.0,2022
長野,純米吟醸酒,1926.0,64.0,2022
千葉,純米吟醸酒,643.0,22.0,2022
東京,純米吟醸酒,322.0,7.0,2022
神奈川,純米吟醸酒,367.0,14.0,2022
山梨,純米吟醸酒,926.0,9.0,2022
富山,純米吟醸酒,986.0,16.0,2022
石川,純米吟醸酒,687.0,22.0,2022
福井,純米吟醸酒,985.0,21.0,2022
岐阜,純米吟醸酒,1070.0,31.0,2022
静岡,純米吟醸酒,1022.0,22.0,2022
愛知,純米吟醸酒,999.0,25.0,2022
三重,純米吟醸酒,1081.0,24.0,2022
滋賀,純米吟醸酒,574.0,29.0,2022
京都,純米吟醸酒,3243.0,32.0,2022
大阪,純米吟醸酒,146.0,10.0,2022
兵庫,純米吟醸酒,2977.0,48.0,2022
奈良,純米吟醸酒,848.0,25.0,2022
和歌山,純米吟醸酒,635.0,9.0,2022
鳥取,純米吟醸酒,263.0,12.0,2022
島根,純米吟醸酒,441.0,27.0,2022
岡山,純米吟醸酒,363.0,21.0,2022
広島,純米吟醸酒,1080.0,36.0,2022
山口,純米吟醸酒,6078.0,19.0,2022
徳島,純米吟醸酒,78.0,8.0,2022
香川,純米吟醸酒,121.0,7.0,2022
愛媛,純米吟醸酒,358.0,20.0,2022
高知,純米吟醸酒,1245.0,19.0,2022
福岡,純米吟醸酒,704.0,32.0,2022
佐賀,純米吟醸酒,663.0,19.0,2022
長崎,純米吟醸酒,173.0,11.0,2022
熊本,純米吟醸酒,205.0,9.0,2022
大分,純米吟醸酒,116.0,15.0,2022
北海道,吟醸酒,64.0,7.0,2022
青森,吟醸酒,106.0,9.0,2022
岩手,吟醸酒,154.0,15.0,2022
宮城,吟醸酒,143.0,19.0,2022
秋田,吟醸酒,1563.0,21.0,2022
山形,吟醸酒,701.0,32.0,2022
福島,吟醸酒,439.0,44.0,2022
茨城,吟醸酒,51.0,13.0,2022
栃木,吟醸酒,284.0,19.0,2022
群馬,吟醸酒,94.0,12.0,2022
埼玉,吟醸酒,755.0,18.0,2022
新潟,吟醸酒,5307.0,70.0,2022
長野,吟醸酒,193.0,34.0,2022
千葉,吟醸酒,124.0,16.0,2022
東京,吟醸酒,45.0,5.0,2022
神奈川,吟醸酒,76.0,8.0,2022
山梨,吟醸酒,13.0,4.0,2022
富山,吟醸酒,120.0,11.0,2022
石川,吟醸酒,179.0,14.0,2022
福井,吟醸酒,406.0,11.0,2022
岐阜,吟醸酒,323.0,25.0,2022
静岡,吟醸酒,143.0,18.0,2022
愛知,吟醸酒,258.0,19.0,2022
三重,吟醸酒,47.0,12.0,2022
滋賀,吟醸酒,26.0,9.0,2022
京都,吟醸酒,1842.0,17.0,2022
大阪,吟醸酒,45.0,8.0,2022
兵庫,吟醸酒,2742.0,34.0,2022
奈良,吟醸酒,40.0,12.0,2022
和歌山,吟醸酒,64.0,9.0,2022
鳥取,吟醸酒,10.0,6.0,2022
島根,吟醸酒,37.0,10.0,2022
岡山,吟醸酒,72.0,15.0,2022
広島,吟醸酒,401.0,27.0,2022
山口,吟醸酒,190.0,10.0,2022
徳島,吟醸酒,59.0,5.0,2022
香川,吟醸酒,76.0,4.0,2022
愛媛,吟醸酒,91.0,14.0,2022
高知,吟醸酒,136.0,13.0,2022
福岡,吟醸酒,146.0,17.0,2022
佐賀,吟醸酒,63.0,11.0,2022
長崎,吟醸酒,37.0,7.0,2022
熊本,吟醸酒,,6.0,2022
大分,吟醸酒,31.0,10.0,2022
北海道,本醸造酒,209.0,10.0,2022
青森,本醸造酒,117.0,8.0,2022
岩手,本醸造酒,290.0,12.0,2022
宮城,本醸造酒,1418.0,19.0,2022
秋田,本醸造酒,897.0,20.0,2022
山形,本醸造酒,663.0,27.0,2022
福島,本醸造酒,446.0,30.0,2022
茨城,本醸造酒,145.0,20.0,2022
栃木,本醸造酒,150.0,14.0,2022
群馬,本醸造酒,416.0,12.0,2022
埼玉,本醸造酒,358.0,13.0,2022
新潟,本醸造酒,5312.0,56.0,2022
長野,本醸造酒,568.0,38.0,2022
千葉,本醸造酒,131.0,14.0,2022
東京,本醸造酒,159.0,5.0,2022
神奈川,本醸造酒,50.0,5.0,2022
山梨,本醸造酒,111.0,6.0,2022
富山,本醸造酒,537.0,8.0,2022
石川,本醸造酒,344.0,16.0,2022
福井,本醸造酒,114.0,14.0,2022
岐阜,本醸造酒,241.0,24.0,2022
静岡,本醸造酒,676.0,15.0,2022
愛知,本醸造酒,219.0,20.0,2022
三重,本醸造酒,144.0,10.0,2022
滋賀,本醸造酒,71.0,13.0,2022
京都,本醸造酒,1200.0,18.0,2022
大阪,本醸造酒,80.0,6.0,2022
兵庫,本醸造酒,4415.0,28.0,2022
奈良,本醸造酒,150.0,12.0,2022
和歌山,本醸造酒,46.0,3.0,2022
鳥取,本醸造酒,16.0,3.0,2022
島根,本醸造酒,69.0,9.0,2022
岡山,本醸造酒,287.0,10.0,2022
広島,本醸造酒,592.0,20.0,2022
山口,本醸造酒,50.0,8.0,2022
徳島,本醸造酒,32.0,4.0,2022
香川,本醸造酒,191.0,3.0,2022
愛媛,本醸造酒,75.0,10.0,2022
高知,本醸造酒,268.0,11.0,2022
福岡,本醸造酒,178.0,16.0,2022
佐賀,本醸造酒,152.0,12.0,2022
長崎,本醸造酒,94.0,5.0,2022
熊本,本醸造酒,,5.0,2022
大分,本醸造酒,101.0,8.0,2022
北海道,一般酒全体,855.0,9.0,2022
青森,一般酒全体,312.0,11.0,2022
岩手,一般酒全体,464.0,16.0,2022
宮城,一般酒全体,224.0,14.0,2022
秋田,一般酒全体,4902.0,22.0,2022
山形,一般酒全体,675.0,22.0,2022
福島,一般酒全体,1829.0,40.0,2022
茨城,一般酒全体,786.0,17.0,2022
栃木,一般酒全体,3934.0,19.0,2022
群馬,一般酒全体,543.0,8.0,2022
埼玉,一般酒全体,16656.0,14.0,2022
新潟,一般酒全体,7045.0,62.0,2022
長野,一般酒全体,1743.0,40.0,2022
千葉,一般酒全体,4085.0,16.0,2022
東京,一般酒全体,225.0,6.0,2022
神奈川,一般酒全体,53.0,8.0,2022
山梨,一般酒全体,4685.0,7.0,2022
富山,一般酒全体,602.0,9.0,2022
石川,一般酒全体,222.0,11.0,2022
福井,一般酒全体,497.0,15.0,2022
岐阜,一般酒全体,727.0,23.0,2022
静岡,一般酒全体,357.0,12.0,2022
愛知,一般酒全体,6776.0,18.0,2022
三重,一般酒全体,141.0,10.0,2022
滋賀,一般酒全体,1158.0,19.0,2022
京都,一般酒全体,39312.0,21.0,2022
大阪,一般酒全体,95.0,8.0,2022
兵庫,一般酒全体,69887.0,39.0,2022
奈良,一般酒全体,366.0,18.0,2022
和歌山,一般酒全体,599.0,6.0,2022
鳥取,一般酒全体,90.0,9.0,2022
島根,一般酒全体,197.0,15.0,2022
岡山,一般酒全体,342.0,16.0,2022
広島,一般酒全体,2782.0,23.0,2022
山口,一般酒全体,340.0,14.0,2022
徳島,一般酒全体,18.0,5.0,2022
香川,一般酒全体,79.0,3.0,2022
愛媛,一般酒全体,308.0,8.0,2022
高知,一般酒全体,843.0,11.0,2022
福岡,一般酒全体,576.0,24.0,2022
佐賀,一般酒全体,396.0,17.0,2022
長崎,一般酒全体,241.0,7.0,2022
熊本,一般酒全体,,8.0,2022
大分,一般酒全体,488.0,12.0,2022
北海道,清酒全体,2884.0,15.0,2023
青森,清酒全体,2864.0,16.0,2023
岩手,清酒全体,2529.0,22.0,2023
宮城,清酒全体,5197.0,29.0,2023
秋田,清酒全体,11507.0,32.0,2023
山形,清酒全体,6267.0,45.0,2023
福島,清酒全体,6478.0,52.0,2023
茨城,清酒全体,2077.0,26.0,2023
栃木,清酒全体,6544.0,25.0,2023
群馬,清酒全体,1820.0,19.0,2023
埼玉,清酒全体,15681.0,23.0,2023
新潟,清酒全体,27689.0,78.0,2023
