year,prefecture,population_total_k,age_0_14_k,age_15_plus_k
1973,富山,1054.6,,
1973,山口,1537.4,,
1973,山形,1222.4,,
1973,山梨,774.6,,
1973,岐阜,1824.4,,
1973,岡山,1771.2,,
1973,岩手,1380.0,,
1973,島根,771.0,,
1973,広島,2562.0,,
1973,徳島,799.4,,
1973,愛媛,1446.2,,
1973,愛知,5708.8,,
1973,新潟,2379.6,,
1973,東京,11567.6,,
1973,栃木,1650.8,,
1973,沖縄,1003.8,,
1973,滋賀,947.6,,
1973,熊本,1709.0,,
1973,石川,1042.8,,
1973,神奈川,6027.6,,
1973,福井,762.0,,
1973,福岡,4186.6,,
1973,福島,1961.0,,
1973,秋田,1235.6,,
1973,群馬,1717.2,,
1973,茨城,2262.8,,
1973,長崎,1571.2,,
1973,長野,1993.6,,
1973,青森,1452.6,,
1973,静岡,3221.4,,
1973,香川,939.8,,
1973,高知,799.6,,
1973,鳥取,576.2,,
1973,鹿児島,1726.0,,
1974,三重,1609.4,,
1974,京都,2390.0,,
1974,佐賀,838.0,,
1974,兵庫,4927.2,,
1974,北海道,5307.2,,
1974,千葉,3992.6,,
1974,和歌山,1066.2,,
1974,埼玉,4630.0,,
1974,大分,1183.2,,
1974,大阪,8147.2,,
1974,奈良,1047.6,,
1974,宮城,1927.8,,
1974,宮崎,1078.2,,
1974,富山,1062.8,,
1974,山口,1546.2,,
1974,山形,1221.2,,
1974,山梨,778.8,,
1974,岐阜,1846.2,,
1974,岡山,1792.6,,
1974,岩手,1383.0,,
1974,島根,770.0,,
1974,広島,2604.0,,
1974,徳島,802.2,,
1974,愛媛,1455.6,,
1974,愛知,5816.4,,
1974,新潟,2385.8,,
1974,東京,11620.8,,
1974,栃木,1674.4,,
1974,沖縄,1023.4,,
1974,滋賀,966.8,,
1974,熊本,1712.0,,
1974,石川,1056.4,,
1974,神奈川,6212.8,,
1974,福井,768.0,,
1974,福岡,4239.8,,
1974,福島,1966.0,,
1974,秋田,1233.8,,
1974,群馬,1736.6,,
1974,茨城,2302.4,,
1974,長崎,1571.6,,
1974,長野,2005.8,,
1974,青森,1460.8,,
1974,静岡,3265.2,,
1974,香川,950.4,,
1974,高知,803.8,,
1974,鳥取,578.6,,
1974,鹿児島,1725.0,,
1975,三重,1626.0,,
1975,京都,2425.0,,
1975,佐賀,838.0,,
