year,prefecture,production_quantity_kl
2014,高知,5153.0
2014,福岡,4618.0
2014,佐賀,2512.0
2014,長崎,879.0
2014,熊本,1104.0
2014,大分,2903.0
2014,宮崎,
2014,鹿児島,
2014,沖縄,
2015,北海道,3420.0
2015,青森,4361.0
2015,岩手,3933.0
2015,宮城,7934.0
2015,秋田,17800.0
2015,山形,9173.0
2015,福島,12473.0
2015,茨城,3161.0
2015,栃木,8063.0
2015,群馬,2992.0
2015,埼玉,16212.0
2015,新潟,37509.0
2015,長野,8620.0
2015,千葉,5918.0
2015,東京,1612.0
2015,神奈川,877.0
2015,山梨,9213.0
2015,富山,5123.0
2015,石川,6839.0
2015,福井,3067.0
2015,岐阜,4459.0
2015,静岡,4333.0
2015,愛知,13812.0
2015,三重,2196.0
2015,滋賀,3853.0
2015,京都,71286.0
2015,大阪,852.0
2015,兵庫,126747.0
2015,奈良,3658.0
2015,和歌山,2609.0
2015,鳥取,979.0
2015,島根,2012.0
2015,岡山,2659.0
2015,広島,10228.0
2015,山口,5701.0
2015,徳島,454.0
2015,香川,1089.0
2015,愛媛,1803.0
2015,高知,5005.0
2015,福岡,4305.0
2015,佐賀,2819.0
2015,長崎,916.0
2015,熊本,1143.0
2015,大分,3307.0
2015,宮崎,
2015,鹿児島,
2015,沖縄,
2016,北海道,3837.0
2016,青森,3860.0
2016,岩手,3899.0
2016,宮城,7449.0
2016,秋田,16447.0
2016,山形,8030.0
2016,福島,11801.0
2016,茨城,3460.0
2016,栃木,8049.0
2016,群馬,2721.0
2016,埼玉,15916.0
2016,新潟,37544.0
2016,長野,8084.0
2016,千葉,6268.0
2016,東京,1415.0
2016,神奈川,925.0
2016,山梨,8383.0
2016,富山,5147.0
2016,石川,6626.0
2016,福井,2928.0
2016,岐阜,4074.0
2016,静岡,4168.0
2016,愛知,13297.0
2016,三重,2157.0
2016,滋賀,3432.0
2016,京都,70874.0
2016,大阪,904.0
2016,兵庫,117743.0
2016,奈良,3478.0
2016,和歌山,2573.0
2016,鳥取,967.0
2016,島根,2071.0
2016,岡山,2542.0
2016,広島,9040.0
2016,山口,7213.0
2016,徳島,469.0
2016,香川,929.0
